month,country,age_group,share_of_messages
2025-02-01,PK,35-44,0.116
2025-02-01,PK,45-54,0.043
2025-02-01,PK,55-64,0.008
2025-02-01,PK,65+,0.014
2025-02-01,PL,18-24,0.288
2025-02-01,PL,25-34,0.433
2025-02-01,PL,35-44,0.176
2025-02-01,PL,45-54,0.069
2025-02-01,PL,55-64,0.018
2025-02-01,PL,65+,0.017
2025-02-01,PR,18-24,0.305
2025-02-01,PR,25-34,0.302
2025-02-01,PR,35-44,0.219
2025-02-01,PR,45-54,0.066
2025-02-01,PR,55-64,0.052
2025-02-01,PR,65+,0.056
2025-02-01,PS,18-24,0.483
2025-02-01,PS,25-34,0.252
2025-02-01,PS,35-44,0.109
2025-02-01,PS,45-54,0.059
2025-02-01,PS,55-64,0.041
2025-02-01,PS,65+,0.056
2025-02-01,PT,18-24,0.278
2025-02-01,PT,25-34,0.352
2025-02-01,PT,35-44,0.200
2025-02-01,PT,45-54,0.116
2025-02-01,PT,55-64,0.035
2025-02-01,PT,65+,0.019
2025-02-01,PY,18-24,0.354
2025-02-01,PY,25-34,0.376
2025-02-01,PY,35-44,0.062
2025-02-01,PY,45-54,0.144
2025-02-01,PY,55-64,0.000
2025-02-01,PY,65+,0.065
2025-02-01,QA,18-24,0.228
2025-02-01,QA,25-34,0.392
2025-02-01,QA,35-44,0.251
2025-02-01,QA,45-54,0.043
2025-02-01,QA,55-64,0.053
2025-02-01,QA,65+,0.034
2025-02-01,RO,18-24,0.300
2025-02-01,RO,25-34,0.388
2025-02-01,RO,35-44,0.182
2025-02-01,RO,45-54,0.079
2025-02-01,RO,55-64,0.033
2025-02-01,RO,65+,0.018
2025-02-01,RS,18-24,0.217
2025-02-01,RS,25-34,0.426
2025-02-01,RS,35-44,0.197
2025-02-01,RS,45-54,0.109
2025-02-01,RS,55-64,0.030
2025-02-01,RS,65+,0.022
2025-02-01,SA,18-24,0.413
2025-02-01,SA,25-34,0.393
2025-02-01,SA,35-44,0.120
2025-02-01,SA,45-54,0.043
2025-02-01,SA,55-64,0.011
2025-02-01,SA,65+,0.019
2025-02-01,SD,18-24,0.520
2025-02-01,SD,25-34,0.273
2025-02-01,SD,35-44,0.163
2025-02-01,SD,45-54,0.000
2025-02-01,SD,55-64,0.037
2025-02-01,SD,65+,0.007
2025-02-01,SE,18-24,0.279
2025-02-01,SE,25-34,0.358
2025-02-01,SE,35-44,0.192
2025-02-01,SE,45-54,0.118
2025-02-01,SE,55-64,0.035
2025-02-01,SE,65+,0.018
2025-02-01,SG,18-24,0.262
2025-02-01,SG,25-34,0.462
2025-02-01,SG,35-44,0.199
2025-02-01,SG,45-54,0.056
2025-02-01,SG,55-64,0.017
2025-02-01,SG,65+,0.004
2025-02-01,SI,18-24,0.312
2025-02-01,SI,25-34,0.258
2025-02-01,SI,35-44,0.200
2025-02-01,SI,45-54,0.220
2025-02-01,SI,55-64,0.010
2025-02-01,SI,65+,0.000
2025-02-01,SK,18-24,0.249
2025-02-01,SK,25-34,0.422
2025-02-01,SK,35-44,0.192
2025-02-01,SK,45-54,0.046
2025-02-01,SK,55-64,0.042
2025-02-01,SK,65+,0.049
2025-02-01,SN,18-24,0.604
2025-02-01,SN,25-34,0.298
2025-02-01,SN,35-44,0.032
2025-02-01,SN,45-54,0.026
2025-02-01,SN,55-64,0.000
2025-02-01,SN,65+,0.040
2025-02-01,SO,18-24,0.494
2025-02-01,SO,25-34,0.308
2025-02-01,SO,35-44,0.051
2025-02-01,SO,45-54,0.034
2025-02-01,SO,55-64,0.041
2025-02-01,SO,65+,0.072
2025-02-01,SV,18-24,0.471
2025-02-01,SV,25-34,0.434
2025-02-01,SV,35-44,0.056
2025-02-01,SV,45-54,0.009
2025-02-01,SV,55-64,0.021
2025-02-01,SV,65+,0.008
2025-02-01,TH,18-24,0.497
2025-02-01,TH,25-34,0.300
2025-02-01,TH,35-44,0.110
2025-02-01,TH,45-54,0.047
2025-02-01,TH,55-64,0.020
2025-02-01,TH,65+,0.027
2025-02-01,TJ,18-24,0.573
2025-02-01,TJ,25-34,0.313
2025-02-01,TJ,35-44,0.045
2025-02-01,TJ,45-54,0.058
2025-02-01,TJ,55-64,0.000
2025-02-01,TJ,65+,0.011
2025-02-01,TN,18-24,0.421
2025-02-01,TN,25-34,0.334
2025-02-01,TN,35-44,0.114
2025-02-01,TN,45-54,0.061
2025-02-01,TN,55-64,0.025
2025-02-01,TN,65+,0.045
2025-02-01,TR,18-24,0.329
2025-02-01,TR,25-34,0.410
2025-02-01,TR,35-44,0.162
2025-02-01,TR,45-54,0.064
2025-02-01,TR,55-64,0.013
2025-02-01,TR,65+,0.021
2025-02-01,TW,18-24,0.206
2025-02-01,TW,25-34,0.426
2025-02-01,TW,35-44,0.222
2025-02-01,TW,45-54,0.095
2025-02-01,TW,55-64,0.036
2025-02-01,TW,65+,0.015
2025-02-01,TZ,18-24,0.386
2025-02-01,TZ,25-34,0.359
2025-02-01,TZ,35-44,0.145
2025-02-01,TZ,45-54,0.060
2025-02-01,TZ,55-64,0.025
2025-02-01,TZ,65+,0.025
2025-02-01,UA,18-24,0.320
2025-02-01,UA,25-34,0.419
2025-02-01,UA,35-44,0.151
2025-02-01,UA,45-54,0.063
2025-02-01,UA,55-64,0.016
2025-02-01,UA,65+,0.031
2025-02-01,US,18-24,0.324
2025-02-01,US,25-34,0.360
2025-02-01,US,35-44,0.176
2025-02-01,US,45-54,0.085
2025-02-01,US,55-64,0.037
2025-02-01,US,65+,0.017
2025-02-01,UY,18-24,0.312
2025-02-01,UY,25-34,0.407
2025-02-01,UY,35-44,0.180
2025-02-01,UY,45-54,0.078
2025-02-01,UY,55-64,0.023
2025-02-01,UY,65+,0.000
2025-02-01,UZ,18-24,0.510
2025-02-01,UZ,25-34,0.252
2025-02-01,UZ,35-44,0.145
2025-02-01,UZ,45-54,0.044
2025-02-01,UZ,55-64,0.014
2025-02-01,UZ,65+,0.034
2025-02-01,VN,18-24,0.441
2025-02-01,VN,25-34,0.391
2025-02-01,VN,35-44,0.112
2025-02-01,VN,45-54,0.033
2025-02-01,VN,55-64,0.011
2025-02-01,VN,65+,0.010
2025-02-01,YE,18-24,0.418
2025-02-01,YE,25-34,0.332
2025-02-01,YE,35-44,0.116
2025-02-01,YE,45-54,0.063
2025-02-01,YE,55-64,0.011
2025-02-01,YE,65+,0.060
2025-02-01,ZA,18-24,0.312
2025-02-01,ZA,25-34,0.362
2025-02-01,ZA,35-44,0.214
2025-02-01,ZA,45-54,0.073
2025-02-01,ZA,55-64,0.037
2025-02-01,ZA,65+,0.003
2025-03-01,AE,18-24,0.221
2025-03-01,AE,25-34,0.460
2025-03-01,AE,35-44,0.215
2025-03-01,AE,45-54,0.063
2025-03-01,AE,55-64,0.024
2025-03-01,AE,65+,0.018
2025-03-01,AF,18-24,0.305
2025-03-01,AF,25-34,0.480
2025-03-01,AF,35-44,0.094
2025-03-01,AF,45-54,0.025
2025-03-01,AF,55-64,0.024
2025-03-01,AF,65+,0.073
2025-03-01,AL,18-24,0.319
2025-03-01,AL,25-34,0.467
2025-03-01,AL,35-44,0.135
2025-03-01,AL,45-54,0.032
2025-03-01,AL,55-64,0.016
2025-03-01,AL,65+,0.031
2025-03-01,AM,18-24,0.406
2025-03-01,AM,25-34,0.336
2025-03-01,AM,35-44,0.149
2025-03-01,AM,45-54,0.053
2025-03-01,AM,55-64,0.011
2025-03-01,AM,65+,0.045
2025-03-01,AO,18-24,0.428
2025-03-01,AO,25-34,0.345
2025-03-01,AO,35-44,0.175
2025-03-01,AO,45-54,0.000
2025-03-01,AO,55-64,0.038
2025-03-01,AO,65+,0.013
2025-03-01,AR,18-24,0.281
2025-03-01,AR,25-34,0.396
2025-03-01,AR,35-44,0.176
2025-03-01,AR,45-54,0.086
2025-03-01,AR,55-64,0.031
2025-03-01,AR,65+,0.029
2025-03-01,AT,18-24,0.284
2025-03-01,AT,25-34,0.380
2025-03-01,AT,35-44,0.193
2025-03-01,AT,45-54,0.097
2025-03-01,AT,55-64,0.033
2025-03-01,AT,65+,0.014
2025-03-01,AU,18-24,0.258
2025-03-01,AU,25-34,0.391
2025-03-01,AU,35-44,0.193
2025-03-01,AU,45-54,0.100
2025-03-01,AU,55-64,0.042
2025-03-01,AU,65+,0.016
2025-03-01,AZ,18-24,0.440
2025-03-01,AZ,25-34,0.331
2025-03-01,AZ,35-44,0.117
2025-03-01,AZ,45-54,0.052
2025-03-01,AZ,55-64,0.033
2025-03-01,AZ,65+,0.026
2025-03-01,BA,18-24,0.368
2025-03-01,BA,25-34,0.406
2025-03-01,BA,35-44,0.170
2025-03-01,BA,45-54,0.010
2025-03-01,BA,55-64,0.029
2025-03-01,BA,65+,0.017
2025-03-01,BD,18-24,0.534
2025-03-01,BD,25-34,0.340
2025-03-01,BD,35-44,0.056
2025-03-01,BD,45-54,0.029
2025-03-01,BD,55-64,0.015
2025-03-01,BD,65+,0.026
2025-03-01,BE,18-24,0.307
2025-03-01,BE,25-34,0.371
2025-03-01,BE,35-44,0.155
2025-03-01,BE,45-54,0.101
2025-03-01,BE,55-64,0.049
2025-03-01,BE,65+,0.016
2025-03-01,BG,18-24,0.302
2025-03-01,BG,25-34,0.371
2025-03-01,BG,35-44,0.178
2025-03-01,BG,45-54,0.096
2025-03-01,BG,55-64,0.024
2025-03-01,BG,65+,0.028
2025-03-01,BH,18-24,0.436
2025-03-01,BH,25-34,0.376
2025-03-01,BH,35-44,0.112
2025-03-01,BH,45-54,0.016
2025-03-01,BH,55-64,0.012
2025-03-01,BH,65+,0.048
2025-03-01,BO,18-24,0.512
2025-03-01,BO,25-34,0.292
2025-03-01,BO,35-44,0.115
2025-03-01,BO,45-54,0.038
2025-03-01,BO,55-64,0.026
2025-03-01,BO,65+,0.017
2025-03-01,BR,18-24,0.290
2025-03-01,BR,25-34,0.386
2025-03-01,BR,35-44,0.195
2025-03-01,BR,45-54,0.083
2025-03-01,BR,55-64,0.027
2025-03-01,BR,65+,0.019
2025-03-01,CA,18-24,0.316
2025-03-01,CA,25-34,0.368
2025-03-01,CA,35-44,0.185
2025-03-01,CA,45-54,0.086
2025-03-01,CA,55-64,0.031
2025-03-01,CA,65+,0.014
2025-03-01,CD,18-24,0.461
2025-03-01,CD,25-34,0.332
2025-03-01,CD,35-44,0.077
2025-03-01,CD,45-54,0.092
2025-03-01,CD,55-64,0.032
2025-03-01,CD,65+,0.006
2025-03-01,CH,18-24,0.235
2025-03-01,CH,25-34,0.359
2025-03-01,CH,35-44,0.217
2025-03-01,CH,45-54,0.131
2025-03-01,CH,55-64,0.043
2025-03-01,CH,65+,0.015
2025-03-01,CI,18-24,0.367
2025-03-01,CI,25-34,0.345
2025-03-01,CI,35-44,0.126
2025-03-01,CI,45-54,0.078
2025-03-01,CI,55-64,0.068
2025-03-01,CI,65+,0.015
2025-03-01,CL,18-24,0.260
2025-03-01,CL,25-34,0.371
2025-03-01,CL,35-44,0.243
2025-03-01,CL,45-54,0.099
2025-03-01,CL,55-64,0.019
2025-03-01,CL,65+,0.007
2025-03-01,CM,18-24,0.485
2025-03-01,CM,25-34,0.299
2025-03-01,CM,35-44,0.123
2025-03-01,CM,45-54,0.050
2025-03-01,CM,55-64,0.028
2025-03-01,CM,65+,0.015
2025-03-01,CO,18-24,0.355
2025-03-01,CO,25-34,0.395
2025-03-01,CO,35-44,0.154
2025-03-01,CO,45-54,0.053
2025-03-01,CO,55-64,0.024
2025-03-01,CO,65+,0.019
2025-03-01,CR,18-24,0.338
2025-03-01,CR,25-34,0.337
2025-03-01,CR,35-44,0.195
2025-03-01,CR,45-54,0.058
2025-03-01,CR,55-64,0.043
2025-03-01,CR,65+,0.029
2025-03-01,CY,18-24,0.261
2025-03-01,CY,25-34,0.314
2025-03-01,CY,35-44,0.235
2025-03-01,CY,45-54,0.134
2025-03-01,CY,55-64,0.002
2025-03-01,CY,65+,0.054
2025-03-01,CZ,18-24,0.329
2025-03-01,CZ,25-34,0.380
2025-03-01,CZ,35-44,0.165
2025-03-01,CZ,45-54,0.084
2025-03-01,CZ,55-64,0.030
2025-03-01,CZ,65+,0.012
2025-03-01,DE,18-24,0.282
2025-03-01,DE,25-34,0.401
2025-03-01,DE,35-44,0.188
2025-03-01,DE,45-54,0.080
2025-03-01,DE,55-64,0.031
2025-03-01,DE,65+,0.018
2025-03-01,DK,18-24,0.306
2025-03-01,DK,25-34,0.339
2025-03-01,DK,35-44,0.171
2025-03-01,DK,45-54,0.104
2025-03-01,DK,55-64,0.068
2025-03-01,DK,65+,0.012
2025-03-01,DO,18-24,0.370
2025-03-01,DO,25-34,0.418
2025-03-01,DO,35-44,0.131
2025-03-01,DO,45-54,0.051
2025-03-01,DO,55-64,0.029
2025-03-01,DO,65+,0.000
2025-03-01,DZ,18-24,0.488
2025-03-01,DZ,25-34,0.320
2025-03-01,DZ,35-44,0.091
2025-03-01,DZ,45-54,0.039
2025-03-01,DZ,55-64,0.022
2025-03-01,DZ,65+,0.040
2025-03-01,EC,18-24,0.334
2025-03-01,EC,25-34,0.403
2025-03-01,EC,35-44,0.174
2025-03-01,EC,45-54,0.052
2025-03-01,EC,55-64,0.024
2025-03-01,EC,65+,0.014
2025-03-01,EE,18-24,0.258
2025-03-01,EE,25-34,0.344
2025-03-01,EE,35-44,0.180
2025-03-01,EE,45-54,0.185
2025-03-01,EE,55-64,0.025
2025-03-01,EE,65+,0.007
2025-03-01,EG,18-24,0.527
2025-03-01,EG,25-34,0.318
2025-03-01,EG,35-44,0.085
2025-03-01,EG,45-54,0.030
2025-03-01,EG,55-64,0.015
2025-03-01,EG,65+,0.025
2025-03-01,ES,18-24,0.314
2025-03-01,ES,25-34,0.360
2025-03-01,ES,35-44,0.167
2025-03-01,ES,45-54,0.102
2025-03-01,ES,55-64,0.036
2025-03-01,ES,65+,0.022
2025-03-01,ET,18-24,0.390
2025-03-01,ET,25-34,0.416
2025-03-01,ET,35-44,0.121
2025-03-01,ET,45-54,0.044
2025-03-01,ET,55-64,0.008
2025-03-01,ET,65+,0.021
2025-03-01,FI,18-24,0.302
2025-03-01,FI,25-34,0.385
2025-03-01,FI,35-44,0.173
2025-03-01,FI,45-54,0.080
2025-03-01,FI,55-64,0.030
2025-03-01,FI,65+,0.030
2025-03-01,FR,18-24,0.344
2025-03-01,FR,25-34,0.368
2025-03-01,FR,35-44,0.160
2025-03-01,FR,45-54,0.082
2025-03-01,FR,55-64,0.030
2025-03-01,FR,65+,0.015
2025-03-01,GB,18-24,0.287
2025-03-01,GB,25-34,0.370
2025-03-01,GB,35-44,0.195
2025-03-01,GB,45-54,0.103
2025-03-01,GB,55-64,0.033
2025-03-01,GB,65+,0.012
2025-03-01,GE,18-24,0.346
2025-03-01,GE,25-34,0.387
2025-03-01,GE,35-44,0.153
2025-03-01,GE,45-54,0.044
2025-03-01,GE,55-64,0.016
2025-03-01,GE,65+,0.054
2025-03-01,GH,18-24,0.398
2025-03-01,GH,25-34,0.403
2025-03-01,GH,35-44,0.138
2025-03-01,GH,45-54,0.048
2025-03-01,GH,55-64,0.000
2025-03-01,GH,65+,0.013
2025-03-01,GR,18-24,0.255
2025-03-01,GR,25-34,0.382
2025-03-01,GR,35-44,0.181
2025-03-01,GR,45-54,0.129
2025-03-01,GR,55-64,0.037
2025-03-01,GR,65+,0.016
2025-03-01,GT,18-24,0.499
2025-03-01,GT,25-34,0.377
2025-03-01,GT,35-44,0.073
2025-03-01,GT,45-54,0.042
2025-03-01,GT,55-64,0.004
2025-03-01,GT,65+,0.005
2025-03-01,HN,18-24,0.411
2025-03-01,HN,25-34,0.350
2025-03-01,HN,35-44,0.139
2025-03-01,HN,45-54,0.055
2025-03-01,HN,55-64,0.001
2025-03-01,HN,65+,0.044
2025-03-01,HR,18-24,0.256
2025-03-01,HR,25-34,0.431
2025-03-01,HR,35-44,0.172
2025-03-01,HR,45-54,0.069
2025-03-01,HR,55-64,0.057
2025-03-01,HR,65+,0.015
2025-03-01,HU,18-24,0.273
2025-03-01,HU,25-34,0.392
2025-03-01,HU,35-44,0.157
2025-03-01,HU,45-54,0.104
2025-03-01,HU,55-64,0.041
2025-03-01,HU,65+,0.032
2025-03-01,ID,18-24,0.538
2025-03-01,ID,25-34,0.326
2025-03-01,ID,35-44,0.076
2025-03-01,ID,45-54,0.030
2025-03-01,ID,55-64,0.010
2025-03-01,ID,65+,0.021
2025-03-01,IE,18-24,0.306
2025-03-01,IE,25-34,0.402
2025-03-01,IE,35-44,0.152
2025-03-01,IE,45-54,0.111
2025-03-01,IE,55-64,0.012
2025-03-01,IE,65+,0.016
2025-03-01,IL,18-24,0.278
2025-03-01,IL,25-34,0.371
2025-03-01,IL,35-44,0.175
2025-03-01,IL,45-54,0.098
2025-03-01,IL,55-64,0.048
2025-03-01,IL,65+,0.029
2025-03-01,IN,18-24,0.496
2025-03-01,IN,25-34,0.341
2025-03-01,IN,35-44,0.102
2025-03-01,IN,45-54,0.036
2025-03-01,IN,55-64,0.010
2025-03-01,IN,65+,0.015
2025-03-01,IQ,18-24,0.509
2025-03-01,IQ,25-34,0.350
2025-03-01,IQ,35-44,0.077
2025-03-01,IQ,45-54,0.022
2025-03-01,IQ,55-64,0.010
2025-03-01,IQ,65+,0.033
2025-03-01,IT,18-24,0.308
2025-03-01,IT,25-34,0.363
2025-03-01,IT,35-44,0.154
2025-03-01,IT,45-54,0.096
2025-03-01,IT,55-64,0.056
2025-03-01,IT,65+,0.022
2025-03-01,JO,18-24,0.474
2025-03-01,JO,25-34,0.335
2025-03-01,JO,35-44,0.113
2025-03-01,JO,45-54,0.039
2025-03-01,JO,55-64,0.026
2025-03-01,JO,65+,0.013
2025-03-01,JP,18-24,0.240
2025-03-01,JP,25-34,0.391
2025-03-01,JP,35-44,0.197
2025-03-01,JP,45-54,0.112
2025-03-01,JP,55-64,0.047
2025-03-01,JP,65+,0.012
2025-03-01,KE,18-24,0.493
2025-03-01,KE,25-34,0.328
2025-03-01,KE,35-44,0.101
2025-03-01,KE,45-54,0.033
2025-03-01,KE,55-64,0.022
2025-03-01,KE,65+,0.023
2025-03-01,KG,18-24,0.515
2025-03-01,KG,25-34,0.278
2025-03-01,KG,35-44,0.108
2025-03-01,KG,45-54,0.062
2025-03-01,KG,55-64,0.018
2025-03-01,KG,65+,0.019
2025-03-01,KH,18-24,0.332
2025-03-01,KH,25-34,0.451
2025-03-01,KH,35-44,0.163
2025-03-01,KH,45-54,0.032
2025-03-01,KH,55-64,0.012
2025-03-01,KH,65+,0.011
2025-03-01,KR,18-24,0.218
2025-03-01,KR,25-34,0.389
2025-03-01,KR,35-44,0.228
2025-03-01,KR,45-54,0.115
2025-03-01,KR,55-64,0.036
2025-03-01,KR,65+,0.014
2025-03-01,KW,18-24,0.297
2025-03-01,KW,25-34,0.466
2025-03-01,KW,35-44,0.171
2025-03-01,KW,45-54,0.018
2025-03-01,KW,55-64,0.013
2025-03-01,KW,65+,0.035
2025-03-01,KZ,18-24,0.495
2025-03-01,KZ,25-34,0.293
2025-03-01,KZ,35-44,0.111
2025-03-01,KZ,45-54,0.040
2025-03-01,KZ,55-64,0.020
2025-03-01,KZ,65+,0.040
2025-03-01,LB,18-24,0.408
2025-03-01,LB,25-34,0.347
2025-03-01,LB,35-44,0.145
2025-03-01,LB,45-54,0.073
2025-03-01,LB,55-64,0.017
2025-03-01,LB,65+,0.010
2025-03-01,LK,18-24,0.442
2025-03-01,LK,25-34,0.342
2025-03-01,LK,35-44,0.104
2025-03-01,LK,45-54,0.065
2025-03-01,LK,55-64,0.021
2025-03-01,LK,65+,0.025
2025-03-01,LT,18-24,0.292
2025-03-01,LT,25-34,0.445
2025-03-01,LT,35-44,0.161
2025-03-01,LT,45-54,0.055
2025-03-01,LT,55-64,0.015
2025-03-01,LT,65+,0.032
2025-03-01,LV,18-24,0.262
2025-03-01,LV,25-34,0.329
2025-03-01,LV,35-44,0.223
2025-03-01,LV,45-54,0.108
2025-03-01,LV,55-64,0.044
2025-03-01,LV,65+,0.035
2025-03-01,LY,18-24,0.432
2025-03-01,LY,25-34,0.348
2025-03-01,LY,35-44,0.110
2025-03-01,LY,45-54,0.035
2025-03-01,LY,55-64,0.038
2025-03-01,LY,65+,0.037
2025-03-01,MA,18-24,0.431
2025-03-01,MA,25-34,0.331
2025-03-01,MA,35-44,0.123
2025-03-01,MA,45-54,0.055
2025-03-01,MA,55-64,0.019
2025-03-01,MA,65+,0.041
2025-03-01,MD,18-24,0.382
2025-03-01,MD,25-34,0.348
2025-03-01,MD,35-44,0.157
2025-03-01,MD,45-54,0.057
2025-03-01,MD,55-64,0.024
2025-03-01,MD,65+,0.032
2025-03-01,MG,18-24,0.482
2025-03-01,MG,25-34,0.414
2025-03-01,MG,35-44,0.048
2025-03-01,MG,45-54,0.029
2025-03-01,MG,55-64,0.027
2025-03-01,MG,65+,0.000
2025-03-01,MM,18-24,0.565
2025-03-01,MM,25-34,0.314
2025-03-01,MM,35-44,0.102
2025-03-01,MM,45-54,0.000
2025-03-01,MM,55-64,0.002
2025-03-01,MM,65+,0.017
2025-03-01,MN,18-24,0.472
2025-03-01,MN,25-34,0.295
2025-03-01,MN,35-44,0.153
2025-03-01,MN,45-54,0.077
2025-03-01,MN,55-64,0.003
2025-03-01,MN,65+,0.000
2025-03-01,MX,18-24,0.480
2025-03-01,MX,25-34,0.340
2025-03-01,MX,35-44,0.103
2025-03-01,MX,45-54,0.045
2025-03-01,MX,55-64,0.018
2025-03-01,MX,65+,0.014
2025-03-01,MY,18-24,0.385
2025-03-01,MY,25-34,0.349
2025-03-01,MY,35-44,0.161
2025-03-01,MY,45-54,0.073
2025-03-01,MY,55-64,0.017
2025-03-01,MY,65+,0.015
2025-03-01,NG,18-24,0.411
2025-03-01,NG,25-34,0.382
2025-03-01,NG,35-44,0.110
2025-03-01,NG,45-54,0.057
2025-03-01,NG,55-64,0.021
2025-03-01,NG,65+,0.020
2025-03-01,NI,18-24,0.426
2025-03-01,NI,25-34,0.308
2025-03-01,NI,35-44,0.122
2025-03-01,NI,45-54,0.062
2025-03-01,NI,55-64,0.014
2025-03-01,NI,65+,0.067
2025-03-01,NL,18-24,0.324
2025-03-01,NL,25-34,0.369
2025-03-01,NL,35-44,0.176
2025-03-01,NL,45-54,0.074
2025-03-01,NL,55-64,0.037
2025-03-01,NL,65+,0.020
2025-03-01,NO,18-24,0.290
2025-03-01,NO,25-34,0.331
2025-03-01,NO,35-44,0.211
2025-03-01,NO,45-54,0.113
2025-03-01,NO,55-64,0.043
2025-03-01,NO,65+,0.013
2025-03-01,NP,18-24,0.492
2025-03-01,NP,25-34,0.327
2025-03-01,NP,35-44,0.095
2025-03-01,NP,45-54,0.027
2025-03-01,NP,55-64,0.014
2025-03-01,NP,65+,0.045
2025-03-01,NZ,18-24,0.321
2025-03-01,NZ,25-34,0.349
2025-03-01,NZ,35-44,0.223
2025-03-01,NZ,45-54,0.078
2025-03-01,NZ,55-64,0.029
2025-03-01,NZ,65+,0.000
2025-03-01,OM,18-24,0.375
2025-03-01,OM,25-34,0.379
2025-03-01,OM,35-44,0.111
2025-03-01,OM,45-54,0.075
2025-03-01,OM,55-64,0.037
2025-03-01,OM,65+,0.024
2025-03-01,PA,18-24,0.250
2025-03-01,PA,25-34,0.378
2025-03-01,PA,35-44,0.209
2025-03-01,PA,45-54,0.079
2025-03-01,PA,55-64,0.024
2025-03-01,PA,65+,0.060
2025-03-01,PE,18-24,0.377
2025-03-01,PE,25-34,0.383
2025-03-01,PE,35-44,0.133
2025-03-01,PE,45-54,0.068
2025-03-01,PE,55-64,0.026
2025-03-01,PE,65+,0.014
2025-03-01,PH,18-24,0.477
2025-03-01,PH,25-34,0.368
2025-03-01,PH,35-44,0.088
2025-03-01,PH,45-54,0.033
2025-03-01,PH,55-64,0.013
2025-03-01,PH,65+,0.020
2025-03-01,PK,18-24,0.454
2025-03-01,PK,25-34,0.371
2025-03-01,PK,35-44,0.110
2025-03-01,PK,45-54,0.033
2025-03-01,PK,55-64,0.011
2025-03-01,PK,65+,0.020
2025-03-01,PL,18-24,0.316
2025-03-01,PL,25-34,0.398
2025-03-01,PL,35-44,0.171
2025-03-01,PL,45-54,0.074
2025-03-01,PL,55-64,0.021
2025-03-01,PL,65+,0.020
2025-03-01,PR,18-24,0.335
2025-03-01,PR,25-34,0.277
2025-03-01,PR,35-44,0.177
2025-03-01,PR,45-54,0.147
2025-03-01,PR,55-64,0.056
2025-03-01,PR,65+,0.007
2025-03-01,PS,18-24,0.471
2025-03-01,PS,25-34,0.413
2025-03-01,PS,35-44,0.114
2025-03-01,PS,45-54,0.000
2025-03-01,PS,55-64,0.002
2025-03-01,PS,65+,0.000
2025-03-01,PT,18-24,0.290
2025-03-01,PT,25-34,0.367
2025-03-01,PT,35-44,0.195
2025-03-01,PT,45-54,0.102
2025-03-01,PT,55-64,0.027
2025-03-01,PT,65+,0.018
2025-03-01,PY,18-24,0.386
2025-03-01,PY,25-34,0.339
2025-03-01,PY,35-44,0.119
2025-03-01,PY,45-54,0.114
2025-03-01,PY,55-64,0.000
2025-03-01,PY,65+,0.042
2025-03-01,QA,18-24,0.234
2025-03-01,QA,25-34,0.415
2025-03-01,QA,35-44,0.220
2025-03-01,QA,45-54,0.088
2025-03-01,QA,55-64,0.029
2025-03-01,QA,65+,0.015
2025-03-01,RO,18-24,0.296
2025-03-01,RO,25-34,0.409
2025-03-01,RO,35-44,0.167
2025-03-01,RO,45-54,0.077
2025-03-01,RO,55-64,0.024
2025-03-01,RO,65+,0.027
2025-03-01,RS,18-24,0.345
2025-03-01,RS,25-34,0.382
2025-03-01,RS,35-44,0.148
2025-03-01,RS,45-54,0.074
2025-03-01,RS,55-64,0.022
2025-03-01,RS,65+,0.029
2025-03-01,SA,18-24,0.397
2025-03-01,SA,25-34,0.414
2025-03-01,SA,35-44,0.119
2025-03-01,SA,45-54,0.047
2025-03-01,SA,55-64,0.009
2025-03-01,SA,65+,0.014
2025-03-01,SE,18-24,0.278
2025-03-01,SE,25-34,0.392
2025-03-01,SE,35-44,0.189
2025-03-01,SE,45-54,0.096
2025-03-01,SE,55-64,0.033
2025-03-01,SE,65+,0.013
2025-03-01,SG,18-24,0.283
2025-03-01,SG,25-34,0.464
2025-03-01,SG,35-44,0.174
2025-03-01,SG,45-54,0.055
2025-03-01,SG,55-64,0.017
2025-03-01,SG,65+,0.007
2025-03-01,SI,18-24,0.248
2025-03-01,SI,25-34,0.375
2025-03-01,SI,35-44,0.239
2025-03-01,SI,45-54,0.121
2025-03-01,SI,55-64,0.017
2025-03-01,SI,65+,0.000
2025-03-01,SK,18-24,0.341
2025-03-01,SK,25-34,0.375
2025-03-01,SK,35-44,0.147
2025-03-01,SK,45-54,0.091
2025-03-01,SK,55-64,0.031
2025-03-01,SK,65+,0.016
2025-03-01,SN,18-24,0.490
2025-03-01,SN,25-34,0.325
2025-03-01,SN,35-44,0.031
2025-03-01,SN,45-54,0.068
2025-03-01,SN,55-64,0.054
2025-03-01,SN,65+,0.033
2025-03-01,SO,18-24,0.508
2025-03-01,SO,25-34,0.292
2025-03-01,SO,35-44,0.113
2025-03-01,SO,45-54,0.022
2025-03-01,SO,55-64,0.029
2025-03-01,SO,65+,0.036
2025-03-01,SV,18-24,0.456
2025-03-01,SV,25-34,0.415
2025-03-01,SV,35-44,0.078
2025-03-01,SV,45-54,0.043
2025-03-01,SV,55-64,0.000
2025-03-01,SV,65+,0.008
2025-03-01,TH,18-24,0.459
2025-03-01,TH,25-34,0.323
2025-03-01,TH,35-44,0.123
2025-03-01,TH,45-54,0.052
2025-03-01,TH,55-64,0.024
2025-03-01,TH,65+,0.019
2025-03-01,TN,18-24,0.378
2025-03-01,TN,25-34,0.323
2025-03-01,TN,35-44,0.155
