month,country,age_group,share_of_messages
2024-07-01,GB,65+,0.014
2024-07-01,GE,18-24,0.280
2024-07-01,GE,25-34,0.400
2024-07-01,GE,35-44,0.193
2024-07-01,GE,45-54,0.069
2024-07-01,GE,55-64,0.058
2024-07-01,GE,65+,0.000
2024-07-01,GH,18-24,0.197
2024-07-01,GH,25-34,0.416
2024-07-01,GH,35-44,0.280
2024-07-01,GH,45-54,0.056
2024-07-01,GH,55-64,0.044
2024-07-01,GH,65+,0.007
2024-07-01,GR,18-24,0.207
2024-07-01,GR,25-34,0.462
2024-07-01,GR,35-44,0.156
2024-07-01,GR,45-54,0.103
2024-07-01,GR,55-64,0.054
2024-07-01,GR,65+,0.019
2024-07-01,GT,18-24,0.531
2024-07-01,GT,25-34,0.347
2024-07-01,GT,35-44,0.094
2024-07-01,GT,45-54,0.029
2024-07-01,GT,55-64,0.000
2024-07-01,GT,65+,0.000
2024-07-01,HN,18-24,0.423
2024-07-01,HN,25-34,0.343
2024-07-01,HN,35-44,0.127
2024-07-01,HN,45-54,0.058
2024-07-01,HN,55-64,0.021
2024-07-01,HN,65+,0.027
2024-07-01,HR,18-24,0.177
2024-07-01,HR,25-34,0.437
2024-07-01,HR,35-44,0.148
2024-07-01,HR,45-54,0.142
2024-07-01,HR,55-64,0.068
2024-07-01,HR,65+,0.027
2024-07-01,HU,18-24,0.214
2024-07-01,HU,25-34,0.344
2024-07-01,HU,35-44,0.224
2024-07-01,HU,45-54,0.158
2024-07-01,HU,55-64,0.020
2024-07-01,HU,65+,0.040
2024-07-01,ID,18-24,0.441
2024-07-01,ID,25-34,0.402
2024-07-01,ID,35-44,0.107
2024-07-01,ID,45-54,0.040
2024-07-01,ID,55-64,0.007
2024-07-01,ID,65+,0.003
2024-07-01,IE,18-24,0.151
2024-07-01,IE,25-34,0.498
2024-07-01,IE,35-44,0.244
2024-07-01,IE,45-54,0.107
2024-07-01,IE,55-64,0.000
2024-07-01,IE,65+,0.000
2024-07-01,IL,18-24,0.191
2024-07-01,IL,25-34,0.449
2024-07-01,IL,35-44,0.197
2024-07-01,IL,45-54,0.105
2024-07-01,IL,55-64,0.046
2024-07-01,IL,65+,0.012
2024-07-01,IN,18-24,0.374
2024-07-01,IN,25-34,0.451
2024-07-01,IN,35-44,0.124
2024-07-01,IN,45-54,0.038
2024-07-01,IN,55-64,0.008
2024-07-01,IN,65+,0.004
2024-07-01,IQ,18-24,0.308
2024-07-01,IQ,25-34,0.394
2024-07-01,IQ,35-44,0.173
2024-07-01,IQ,45-54,0.107
2024-07-01,IQ,55-64,0.018
2024-07-01,IQ,65+,0.000
2024-07-01,IT,18-24,0.235
2024-07-01,IT,25-34,0.416
2024-07-01,IT,35-44,0.178
2024-07-01,IT,45-54,0.105
2024-07-01,IT,55-64,0.054
2024-07-01,IT,65+,0.012
2024-07-01,JO,18-24,0.242
2024-07-01,JO,25-34,0.423
2024-07-01,JO,35-44,0.226
2024-07-01,JO,45-54,0.027
2024-07-01,JO,55-64,0.020
